Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos
2018,Julio,249,Estados Unidos,11,Bogotá,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",10874.82,17.47,50840.55
2018,Julio,27,Aruba,11,Bogotá,0803901900 - Los demás bananos o plátanos frescos.,30,0.04,103.25
2018,Julio,200,Curazao,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",246240,113.8,327872.65
2018,Julio,249,Estados Unidos,5,Antioquia,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,163250.73,141.2,407443.32
2018,Junio,23,Alemania,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,6,0.02,68.2
2018,Junio,53,Arabia Saudita,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,90,0.59,1731.67
2018,Junio,80,Bahrein,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,293,2.02,5905.39
2018,Junio,87,Bélgica,5,Antioquia,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,102.4,0.16,461.63
2018,Junio,105,Brasil,47,Magdalena,"0803102000 - ""PLATANOS """"PLANTAINS"""" SECOS.""",95.2,0,10.97
2018,Junio,149,Canadá,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,334,0.86,2491.86
2018,Junio,149,Canadá,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,3,0.01,17.16
2018,Junio,245,España,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,1461.5,4.15,11950.87
2018,Junio,275,Francia,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,3700,11.37,32589.43
2018,Junio,386,Italia,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,450,1.08,3097.68
2018,Junio,413,Kuwait,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,15,0.06,171.92
2018,Junio,23,Alemania,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",1569471,701.74,2010913.5
2018,Junio,87,Bélgica,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",8060033.4,4015.4,11602387.72
2018,Junio,249,Estados Unidos,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",221760,131.33,377681.61
2018,Junio,386,Italia,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",39960,28.51,83230.52
2018,Junio,399,Japón,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",219960,171.41,495857.65
2018,Junio,438,Libia,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",51715,27.31,79174.32
2018,Junio,573,Países Bajos,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",3977002.32,1945.48,5633685.09
2018,Junio,628,Reino Unido,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",9406339,4588.03,13201527.84
2018,Junio,17,Albania,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",250560,115.34,336940.39
2018,Junio,23,Alemania,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",9373812,4873.17,14200961.65
